benchmark,pair_id,model_r,model_i,family,source,acc_i_pct,acc_r_pct,delta_acc_pp,gen_tok_i,gen_tok_r,gen_tok_mult,TES,cost_i,cost_r,cost_mult,reasoning_tok_r,output_tok_r
IFBench,claude-opus-4.7,Claude Opus 4.7,Claude Opus 4.7,Claude,aa,43.6,58.6,15.0,200000,1610000,8.05,1.8634,5.23125,40.36875,7.7168,1500000,110000
IFBench,dsv4pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro,DeepSeek,aa,45.8,71.3,25.5,170000,1278000,7.5176,3.392,0.6351,4.49094,7.0712,1200000,78000
IFBench,dsv4pro,DeepSeek V4 Pro (Max),DeepSeek V4 Pro,DeepSeek,aa,45.8,76.5,30.7,170000,3272000,19.2471,1.595,0.6351,11.43006,17.9973,3200000,72000
IFBench,gem-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,55.1,78.0,22.9,84000,2288000,27.2381,0.8407,0.2645,6.8765,25.9981,2200000,88000
IFBench,glm-5.1,GLM-5.1,GLM-5.1,GLM,aa,52.0,76.3,24.3,110000,1699000,15.4455,1.5733,0.519,7.5106,14.4713,1600000,99000
IFBench,gpt-5.5,GPT 5.5 high,GPT 5.5,GPT,aa,46.1,71.6,25.5,180000,700000,3.8889,6.5571,5.525,21.125,3.8235,540000,160000
IFBench,gpt-5.5,GPT 5.5 xhigh,GPT 5.5,GPT,aa,46.1,75.9,29.8,180000,1060000,5.8889,5.0604,5.525,31.925,5.7783,910000,150000
IFBench,grok4.20-0309,Grok 4.20 0309,Grok 4.20 0309,Grok,aa,47.8,82.9,35.1,870000,1018000,1.1701,29.9971,5.27,6.158,1.1685,970000,48000
IFBench,qwen3-235b-a22b,Qwen3-235B-A22B 2507,Qwen3-235B-A22B 2507,Qwen,self,46.1,51.2,5.1,150000,770000,5.1333,0.9935,0.3325,1.6655,5.009,610000,160000
IFBench,qwen3.5-397b-a17b,Qwen3.5-397B-A17B,Qwen3.5-397B-A17B,Qwen,self,51.6,78.8,27.2,83000,2669000,32.1566,0.8459,0.3132,9.6234,30.7261,2600000,69000
IFBench,qwen3.6-27b,Qwen3.6-27B,Qwen3.6-27B,Qwen,self,45.7,67.6,21.9,690000,3420000,4.9565,4.4184,2.499,12.327,4.9328,3300000,120000
MMLU-Pro,claude-opus-4.5,Claude Opus 4.5,Claude Opus 4.5,Claude,aa,88.9,89.5,0.6,4800000,18200000,3.7917,0.1582,136.875,471.875,3.4475,14000000,4200000
MMLU-Pro,claude-sonnet-4.5,Claude Sonnet 4.5,Claude Sonnet 4.5,Claude,aa,86.0,87.5,1.5,4400000,26500000,6.0227,0.2491,76.125,407.625,5.3547,23000000,3500000
MMLU-Pro,dsv32,DeepSeek V3.2,DeepSeek V3.2,DeepSeek,aa,83.7,86.2,2.5,4900000,29000000,5.9184,0.4224,3.045,13.89,4.5616,28000000,1000000
MMLU-Pro,gem-3-flash,Gemini 3 Flash,Gemini 3 Flash,Gemini,aa,88.2,89.0,0.8,4600000,92700000,20.1522,0.0397,15.2,279.5,18.3882,88000000,4700000
MMLU-Pro,glm-4.7,GLM 4.7,GLM 4.7,GLM,aa,79.4,85.6,6.2,6100000,50450000,8.2705,0.7497,15.1,112.67,7.4616,50000000,450000
