benchmark,pair_id,model_lower_effort,model_higher_effort,acc_lower_pct,acc_higher_pct,marginal_delta_pp,TES_lower,TES_higher,gen_tok_lower,gen_tok_higher,marginal_tok_mult,marginal_TES,accuracy_drops
GPQA Diamond,v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro (Max),90.5,88.8,-1.7,0.6774,0.225,2137000,5853000,2.739,-0.6207,True
LiveCodeBench,gpt-5.2,GPT-5.2 (medium),GPT-5.2 (xhigh),89.4,88.9,-0.5,3.2738,0.9798,3780000,12350000,3.267,-0.153,True
GPQA Diamond,gpt-5.5,GPT 5.5 (high),GPT 5.5 (xhigh),93.2,93.5,0.3,1.1474,0.6827,586000,1003000,1.712,0.1753,False
MMLU-Pro,gpt-5.2,GPT 5.2 medium,GPT 5.2 xhigh,85.9,87.4,1.5,1.3333,0.3028,5400000,31700000,5.87,0.2555,False
HLE,gpt-5.5,GPT-5.5 (high),GPT-5.5 (xhigh),43.0,44.3,1.3,1.0673,0.6686,16520000,27500000,1.665,0.7809,False
CritPt,gpt-5.5,GPT-5.5 (high),GPT-5.5 (xhigh),25.4,27.1,1.7,1.659,1.0253,2170000,3760000,1.733,0.9811,False
AIME 2025,gpt-5.2,GPT-5.2 (medium),GPT-5.2 (xhigh),96.7,99.0,2.3,8.0494,3.7576,176000,396000,2.25,1.0222,False
HLE,deepseek-v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro (Max),33.5,35.9,2.4,1.2423,0.8653,70610000,110800000,1.569,1.5295,False
IFBench,dsv4pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro (Max),71.3,76.5,5.2,3.392,1.595,1278000,3272000,2.56,2.0311,False
CritPt,deepseek-v4-pro,DeepSeek V4 Pro (High),DeepSeek V4 Pro (Max),10.0,12.9,2.9,0.7355,0.6871,5320000,7510000,1.412,2.0543,False
IFBench,gpt-5.5,GPT 5.5 high,GPT 5.5 xhigh,71.6,75.9,4.3,6.5571,5.0604,700000,1060000,1.514,2.8396,False
