model,benchmark,thinking,n_questions,reasoning_tok_per_q,output_tok_per_q,gen_tok_per_q,context_steps_200k
Gemini 3 Flash,IFBench,0,58,0.0,1448.3,1448.3,138.1
Gemini 3 Flash,IFBench,1,58,37931.0,1517.2,39448.3,5.1
GLM-5.1,IFBench,0,58,0.0,1896.6,1896.6,105.5
GLM-5.1,IFBench,1,58,27586.2,1706.9,29293.1,6.8
Qwen3.5-397B-A17B,IFBench,0,58,0.0,1431.0,1431.0,139.8
Qwen3.5-397B-A17B,IFBench,1,58,44827.6,1189.7,46017.2,4.3
Grok 4.20 0309,IFBench,0,58,0.0,15000.0,15000.0,13.3
Grok 4.20 0309,IFBench,1,58,16724.1,827.6,17551.7,11.4
GPT 5.5,IFBench,0,58,0.0,3103.4,3103.4,64.4
GPT 5.5 high,IFBench,1,58,9310.3,2758.6,12069.0,16.6
GPT 5.5 xhigh,IFBench,1,58,15689.7,2586.2,18275.9,10.9
DeepSeek V4 Pro,IFBench,0,58,0.0,2931.0,2931.0,68.2
DeepSeek V4 Pro (High),IFBench,1,58,20689.7,1344.8,22034.5,9.1
DeepSeek V4 Pro (Max),IFBench,1,58,55172.4,1241.4,56413.8,3.5
Qwen3.6-27B,IFBench,0,58,0.0,11896.6,11896.6,16.8
Qwen3.6-27B,IFBench,1,58,56896.6,2069.0,58965.5,3.4
Claude Opus 4.7,IFBench,0,58,0.0,3448.3,3448.3,58.0
Claude Opus 4.7,IFBench,1,58,25862.1,1896.6,27758.6,7.2
Qwen3-235B-A22B 2507,IFBench,0,58,0.0,2586.2,2586.2,77.3
Qwen3-235B-A22B 2507,IFBench,1,58,10517.2,2758.6,13275.9,15.1
Claude Opus 4.5,MMLU-Pro,0,12000,0.0,400.0,400.0,500.0
Claude Opus 4.5,MMLU-Pro,1,12000,1166.7,350.0,1516.7,131.9
Claude Sonnet 4.5,MMLU-Pro,0,12000,0.0,366.7,366.7,545.5
Claude Sonnet 4.5,MMLU-Pro,1,12000,1916.7,291.7,2208.3,90.6
DeepSeek V3.2,MMLU-Pro,0,12000,0.0,408.3,408.3,489.8
DeepSeek V3.2,MMLU-Pro,1,12000,2333.3,83.3,2416.7,82.8
GPT 5.2,MMLU-Pro,0,12000,0.0,133.3,133.3,1500.0
GPT 5.2 medium,MMLU-Pro,1,12000,316.7,133.3,450.0,444.4
GPT 5.2 xhigh,MMLU-Pro,1,12000,2500.0,141.7,2641.7,75.7
GLM 4.7,MMLU-Pro,0,12000,0.0,508.3,508.3,393.4
GLM 4.7,MMLU-Pro,1,12000,4166.7,37.5,4204.2,47.6
Qwen3-235B-A22B 2507,MMLU-Pro,0,12000,0.0,800.0,800.0,250.0
Qwen3-235B-A22B 2507,MMLU-Pro,1,12000,3083.3,441.7,3525.0,56.7
Grok 4.1 Fast,MMLU-Pro,0,12000,0.0,266.7,266.7,750.0
Grok 4.1 Fast,MMLU-Pro,1,12000,1916.7,150.0,2066.7,96.8
Qwen3 32B,MMLU-Pro,0,12000,0.0,441.7,441.7,452.8
Qwen3 32B,MMLU-Pro,1,12000,1833.3,325.0,2158.3,92.7
Gemini 3 Flash,MMLU-Pro,0,12000,0.0,383.3,383.3,521.7
Gemini 3 Flash,MMLU-Pro,1,12000,7333.3,391.7,7725.0,25.9
Gemini 3 Pro (low),MMLU-Pro,1,12000,116.7,725.0,841.7,237.6
Gemini 3 Pro (high),MMLU-Pro,1,12000,3166.7,433.3,3600.0,55.6
Gemini 3.1 Pro,GPQA Diamond,1,198,5050.5,606.1,5656.6,35.4
GPT 5.5 (xhigh),GPQA Diamond,1,198,4899.0,166.7,5065.7,39.5
GPT 5.5 (high),GPQA Diamond,1,198,2777.8,181.8,2959.6,67.6
Gemini 3.5 Flash,GPQA Diamond,1,198,5000.0,555.6,5555.6,36.0
Claude Opus 4.7 (max),GPQA Diamond,1,198,12626.3,449.5,13075.8,15.3
DeepSeek V4 Pro (High),GPQA Diamond,1,198,10606.1,186.9,10792.9,18.5
Gemini 3 Flash,GPQA Diamond,1,198,13636.4,606.1,14242.4,14.0
Qwen3.5-397B-A17B,GPQA Diamond,1,198,6060.6,757.6,6818.2,29.3
DeepSeek V4 Pro (Max),GPQA Diamond,1,198,29292.9,267.7,29560.6,6.8
Claude Opus 4.7,GPQA Diamond,0,198,0.0,1010.1,1010.1,198.0
Claude Sonnet 4.6,GPQA Diamond,1,198,26767.7,505.1,27272.7,7.3
Qwen3.5-397B-A17B,GPQA Diamond,0,198,0.0,2626.3,2626.3,76.2
Gemma 4 31B,GPQA Diamond,1,198,4949.5,707.1,5656.6,35.4
Qwen3.6-27B,GPQA Diamond,1,198,11111.1,555.6,11666.7,17.1
Qwen3.6-27B,GPQA Diamond,0,198,0.0,2878.8,2878.8,69.5
GLM-5,GPQA Diamond,1,198,15656.6,191.9,15848.5,12.6
Gemini 3 Flash,GPQA Diamond,0,198,0.0,606.1,606.1,330.0
Claude Sonnet 4.6,GPQA Diamond,0,198,0.0,757.6,757.6,264.0
Gemma 4 26B-A4B,GPQA Diamond,1,198,11616.2,707.1,12323.2,16.2
GPT 5.5,GPQA Diamond,0,198,0.0,207.1,207.1,965.9
Gemma 4 31B,GPQA Diamond,0,198,0.0,707.1,707.1,282.9
DeepSeek V4 Pro,GPQA Diamond,0,198,0.0,388.9,388.9,514.3
Gemma 4 26B-A4B,GPQA Diamond,0,198,0.0,1464.6,1464.6,136.6
GLM-5,GPQA Diamond,0,198,0.0,909.1,909.1,220.0
Gemini 3.1 Pro,HLE,1,2500,13600.0,560.0,14160.0,14.1
GPT-5.5 (xhigh),HLE,1,2500,10800.0,200.0,11000.0,18.2
GPT-5.5 (high),HLE,1,2500,6400.0,208.0,6608.0,30.3
Claude Opus 4.7,HLE,1,2500,24000.0,560.0,24560.0,8.1
DeepSeek V4 Pro (Max),HLE,1,2500,44000.0,320.0,44320.0,4.5
Grok 4.3 (high),HLE,1,2500,20800.0,336.0,21136.0,9.5
