model,family,benchmark,thinking,score,reasoning_tokens,output_tokens,gen_tokens,cost_reasoning,cost_total,RCS_pct,price_per_million_output,source
Claude Sonnet 4.6 (max),Claude,CritPt,1,0.031,16000000.0,38000.0,16038000.0,240.0,241.095,99.55,15.0,aa
Claude Sonnet 4.6,Claude,HLE,1,0.3,130000000.0,1000000.0,131000000.0,1950.0,1967.475,99.11,15.0,aa
DeepSeek V4 Pro (Max),DeepSeek,HLE,1,0.359,110000000.0,800000.0,110800000.0,382.8,386.6802,99.0,3.48,aa
DeepSeek V4 Pro (Max),DeepSeek,GPQA Diamond,1,0.888,5800000.0,53000.0,5853000.0,20.184,20.4537,98.68,3.48,aa
DeepSeek V4 Pro (High),DeepSeek,HLE,1,0.335,70000000.0,610000.0,70610000.0,243.6,246.8712,98.67,3.48,aa
Qwen3.6 27B,Qwen,HLE,1,0.216,64000000.0,800000.0,64800000.0,230.4,233.682,98.6,3.6,self
GLM-5,GLM,GPQA Diamond,1,0.82,3100000.0,38000.0,3138000.0,9.92,10.0906,98.31,3.2,aa
Kimi K2.6,Kimi,CritPt,1,0.08,13000000.0,230000.0,13230000.0,52.0,53.053,98.02,4.0,aa
Claude Sonnet 4.6,Claude,GPQA Diamond,1,0.875,5300000.0,100000.0,5400000.0,79.5,81.18375,97.93,15.0,aa
Grok 4.3 (high),Grok,HLE,1,0.35,52000000.0,840000.0,52840000.0,130.0,132.9,97.82,2.5,aa
GPT-5.5 (xhigh),GPT,HLE,1,0.443,27000000.0,500000.0,27500000.0,810.0,828.35,97.78,30.0,aa
GLM 4.7,GLM,MMLU-Pro,1,0.856,50000000.0,450000.0,50450000.0,110.0,112.67,97.63,2.2,aa
Gemini 3 Flash,Gemini,HLE,1,0.347,42000000.0,930000.0,42930000.0,126.0,129.125,97.58,3.0,aa
Qwen3.5 397B A17B,Qwen,HLE,1,0.273,44000000.0,1000000.0,45000000.0,158.4,162.402,97.54,3.6,self
Claude Opus 4.7,Claude,HLE,1,0.396,60000000.0,1400000.0,61400000.0,1500.0,1539.0625,97.46,25.0,aa
DeepSeek V4 Pro (Max),DeepSeek,IFBench,1,0.765,3200000.0,72000.0,3272000.0,11.136,11.43006,97.43,3.48,aa
GLM-4.7,GLM,AIME 2025,1,0.95,590000.0,15000.0,605000.0,1.888,1.9403,97.3,3.2,aa
GLM-4.7,GLM,LiveCodeBench,1,0.894,19000000.0,370000.0,19370000.0,60.8,62.494,97.29,3.2,aa
Qwen3.5-397B-A17B,Qwen,IFBench,1,0.788,2600000.0,69000.0,2669000.0,9.36,9.6234,97.26,3.6,self
DeepSeek V4 Pro (High),DeepSeek,GPQA Diamond,1,0.905,2100000.0,37000.0,2137000.0,7.308,7.52202,97.15,3.48,aa
Gemma 4 26B A4B,Gemma,HLE,1,0.183,33000000.0,1000000.0,34000000.0,9.9,10.236,96.72,0.3,self
Claude Opus 4.7 (max),Claude,CritPt,1,0.12,4300000.0,97000.0,4397000.0,107.5,111.3,96.59,25.0,aa
GPT-5.2 (xhigh),GPT,LiveCodeBench,1,0.889,12000000.0,350000.0,12350000.0,360.0,372.95,96.53,30.0,aa
DeepSeek V4 Pro (Max),DeepSeek,CritPt,1,0.129,7400000.0,110000.0,7510000.0,25.752,26.6916,96.48,3.48,aa
Qwen3.6-27B,Qwen,IFBench,1,0.676,3300000.0,120000.0,3420000.0,11.88,12.327,96.37,3.6,self
DeepSeek V3.2,DeepSeek,AIME 2025,1,0.92,450000.0,15000.0,465000.0,1.566,1.625682,96.33,3.48,aa
GPT-5.5 (high),GPT,HLE,1,0.43,16000000.0,520000.0,16520000.0,480.0,498.95,96.2,30.0,aa
Claude Opus 4.7 (max),Claude,GPQA Diamond,1,0.914,2500000.0,89000.0,2589000.0,62.5,65.01875,96.13,25.0,aa
